104;"SUPERVISOR RH";3;"410105";0;18/08/22;18/08/22;18/08/22;?;0;1;1;1;1;"";"";"amagro";18/08/22;"134643";"";"";?;?;no;no;0;0;0;0;1
105;"SUPERVISOR DE DEPTO PESSOAL";3;"410105";0;01/04/19;01/04/19;01/04/19;?;0;1;1;1;1;"";"";"msantos";01/04/19;"121109";"";"";?;?;no;no;0;0;0;0;1
106;"CONTROL MANUT E COMBUSTIVEL";3;"391215";0;09/10/19;09/10/19;09/10/19;?;0;1;1;1;1;"Controle de Manutenção e controle de combustiveis.";"";"gmoreno";09/10/19;"160902";"";"";?;?;no;no;0;0;0;0;1
107;"SOLDADOR MIG";3;"724315";0;31/01/12;31/01/12;31/01/12;?;0;1;1;1;3;"";"";"FABIANO";31/01/12;"141114";"";"";?;?;no;no;0;0;0;0;1
108;"AJUDANTE DE MECÂNICO";3;"913115";0;08/05/12;08/05/12;08/05/12;?;0;1;1;1;1;"";"";"LUCIMAR";08/05/12;"131420";"";"";?;?;no;no;0;0;0;0;1
109;"SUPERVISOR DE COMPRAS E ALMOX";3;"354210";0;09/10/19;09/10/19;09/10/19;?;0;1;1;1;1;"";"";"gmoreno";09/10/19;"160915";"";"";?;?;no;no;0;0;0;0;1
110;"AUXILIAR DE ABASTECIMENTO";3;"521135";0;01/06/12;01/06/12;01/06/12;?;0;1;1;1;3;"";"";"ELLEN";01/06/12;"082047";"";"";?;?;no;no;0;0;0;0;1
111;"AUXILIAR DE COMBOIO";3;"919110";0;09/10/19;09/10/19;09/10/19;?;0;1;1;1;3;"";"";"gmoreno";09/10/19;"160926";"";"";?;?;no;no;0;0;0;0;1
112;"AUXILIAR DE MECANICO";3;"913115";0;09/10/19;09/10/19;09/10/19;?;0;1;1;1;3;"";"";"gmoreno";09/10/19;"160933";"";"";?;?;no;no;0;0;0;0;1
113;"AUXILIAR DE COMPRAS";3;"411010";0;18/08/22;18/08/22;18/08/22;?;0;1;1;1;1;"";"";"amagro";18/08/22;"134724";"";"";?;?;no;no;0;0;0;0;1
114;"SUPERVISOR FUNILARIA";3;"910205";0;18/08/22;18/08/22;18/08/22;?;0;1;1;1;102;"";"";"gmoreno";18/08/22;"144919";"";"";?;?;no;no;0;0;0;0;1
115;"AUXILIAR DE SOLDADOR";3;"724315";0;09/10/19;09/10/19;09/10/19;?;0;1;1;1;3;"";"";"gmoreno";09/10/19;"160940";"";"";?;?;no;no;0;0;0;0;1
